"","city","result","reason","法條數","法源數","縣市","戶籍登記人口數","男性人口","女性人口","勞動力參與率","失業率","刑案發生數","竊盜案發生數","暴力犯罪發生數","查獲經濟案件件數","家庭收支.平均戶內人口數","家庭收支.平均每戶就業人數","家庭收支.平均每戶全年經常性收入","家庭收支.平均每戶可支配所得","死亡","受傷","案件數","是否為六都","區域"
"593","臺北","有罪","公共危險",6,3," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"594","臺北","有罪","公共危險",6,3," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"595","臺北","有罪","公共危險",6,3," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"596","臺北","有罪","公共危險",6,3," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"597","臺北","有罪","公共危險",6,3," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"598","臺北","有罪","公共危險",6,3," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"599","臺北","有罪","公共危險",6,3," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"600","臺北","有罪","公共危險",7,3," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"601","臺北","有罪","公共危險",6,3," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"602","臺北","有罪","公共危險",6,3," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"603","臺北","不受理","業務過失傷害",5,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"604","臺北","有罪","公共危險",6,3," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
